year,Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,county,page_no,table_index
2025,October '24,8625.0,15306.0,9946.0,5360.0,2635073.0,306.0,172.0,1.77,Bay,10,0
2025,November '24,8611.0,15244.0,9929.0,5315.0,2609908.0,303.0,171.0,1.77,Bay,10,0
2025,December '24,8617.0,15268.0,9936.0,5332.0,2631438.0,305.0,172.0,1.77,Bay,10,0
2025,January '25,8684.0,15327.0,10037.0,5290.0,2612178.0,301.0,170.0,1.76,Bay,10,0
2025,February '25,8767.0,15489.0,10136.0,5353.0,2648196.0,302.0,171.0,1.77,Bay,10,0
2025,March '25,8735.0,15456.0,10114.0,5342.0,2609922.0,299.0,169.0,1.77,Bay,10,0
2025,April '25,8720.0,15365.0,10089.0,5276.0,2602530.0,298.0,169.0,1.76,Bay,10,0
2025,May '25,8683.0,15339.0,10058.0,5281.0,2566388.0,296.0,167.0,1.77,Bay,10,0
2025,June '25,8606.0,15242.0,9965.0,5277.0,2583733.0,300.0,170.0,1.77,Bay,10,0
2025,July '25,8544.0,15149.0,9874.0,5275.0,2604752.0,305.0,172.0,1.77,Bay,10,0
2025,August '25,8523.0,15080.0,9831.0,5249.0,2602412.0,305.0,173.0,1.77,Bay,10,0
2025,September '25,8546.0,15116.0,9865.0,5251.0,2608521.0,305.0,173.0,1.77,Bay,10,0
2025,October '24,8625.0,15306.0,9946.0,5360.0,2635073.0,306.0,172.0,1.77,Bay,10,1
2025,November '24,8611.0,15244.0,9929.0,5315.0,2609908.0,303.0,171.0,1.77,Bay,10,1
2025,December '24,8617.0,15268.0,9936.0,5332.0,2631438.0,305.0,172.0,1.77,Bay,10,1
2025,January '25,8684.0,15327.0,10037.0,5290.0,2612178.0,301.0,170.0,1.76,Bay,10,1
2025,February '25,8767.0,15489.0,10136.0,5353.0,2648196.0,302.0,171.0,1.77,Bay,10,1
2025,March '25,8735.0,15456.0,10114.0,5342.0,2609922.0,299.0,169.0,1.77,Bay,10,1
2025,April '25,8720.0,15365.0,10089.0,5276.0,2602530.0,298.0,169.0,1.76,Bay,10,1
2025,May '25,8683.0,15339.0,10058.0,5281.0,2566388.0,296.0,167.0,1.77,Bay,10,1
2025,June '25,8606.0,15242.0,9965.0,5277.0,2583733.0,300.0,170.0,1.77,Bay,10,1
2025,July '25,8544.0,15149.0,9874.0,5275.0,2604752.0,305.0,172.0,1.77,Bay,10,1
2025,August '25,8523.0,15080.0,9831.0,5249.0,2602412.0,305.0,173.0,1.77,Bay,10,1
2025,September '25,8546.0,15116.0,9865.0,5251.0,2608521.0,305.0,173.0,1.77,Bay,10,1
