Event_Time,ATT,Std_Error,CI_Lower,CI_Upper,Significant,Period
-12,-0.3404273315645197,0.47044988719753644,-1.473604057227514,0.7927493940984747,No,Pre-treatment
-11,0.12772535700836085,0.10720177905787229,-0.13049249846120597,0.3859432124779277,No,Pre-treatment
-10,-0.045388130654578585,0.2668896379388016,-0.6882475175160853,0.5974712562069281,No,Pre-treatment
-9,-0.35113013756112876,0.4687747573637287,-1.4802719634573438,0.7780116883350864,No,Pre-treatment
-8,-1.0730161902774722,0.468917740259091,-2.2025024203144934,0.056470039759548785,No,Pre-treatment
-7,1.2851117672828023,0.8569493043140677,-0.779029458271479,3.3492529928370836,No,Pre-treatment
-6,0.11527173958792336,0.3009065055494622,-0.6095243714717431,0.8400678506475898,No,Pre-treatment
-5,0.05305085472972981,0.21695991893786293,-0.46954238470468623,0.5756440941641459,No,Pre-treatment
-4,0.2698522607926297,0.2571484383786007,-0.34954341415810486,0.8892479357433642,No,Pre-treatment
-3,-0.1740750629812,0.5205577839634609,-1.4279471143999594,1.0797969884375593,No,Pre-treatment
-2,-1.115127118687836,0.532350803318991,-2.397405118163224,0.16715088078755191,No,Pre-treatment
-1,-0.3592745665934741,0.15836025466585182,-0.7407182861921544,0.02216915300520622,No,Pre-treatment
0,-0.27096304284878686,0.4364087294524632,-1.3221445364560818,0.7802184507585082,No,Post-treatment
1,-0.17382342650242305,0.278621792685387,-0.8449421563088351,0.497295303303989,No,Post-treatment
