Event_Time,ATT,Std_Error,CI_Lower,CI_Upper,Significant
-8,-1.0730161902774722,0.48407212496125057,-2.2228312555269367,0.07679887497199211,No
-7,1.2851117672828023,0.8735978325385316,-0.7899425418296868,3.3601660763952914,No
-6,0.11527173958792336,0.2758026444644347,-0.5398414538566156,0.7703849330324624,No
-5,0.05305085472972981,0.21749977612314936,-0.4635757105673358,0.5696774200267954,No
-4,0.2698522607926297,0.2689105717608666,-0.36889021304893366,0.908594734634193,No
-3,-0.1740750629812,0.48940504017332903,-1.3365573857246518,0.9884072597622517,No
-2,-0.6920773178682109,0.45611472667612,-1.7754852588983332,0.39133062316191136,No
-1,-0.2116917786321391,0.13516957919971961,-0.532759674329933,0.10937611706565478,No
0,-0.669380576127883,0.3333934466525997,-1.461289029123991,0.12252787686822508,No
1,-0.5762195013461764,0.2861424050485677,-1.255892697066534,0.10345369437418128,No
