Specification,ATT,SE,CI_lower,CI_upper,is_boot,is_loo,p_value,Sig
"Main: CS (post 1-5, cohort-weighted)",-0.13725179532055534,0.12519880951192092,-0.378950098680403,0.06879650672298397,TRUE,FALSE,NA,
"Main: CS (post 1-3, cohort-weighted)",-0.10613890770320476,0.09783982365557395,-0.2676040722114342,0.07134549803059798,TRUE,FALSE,NA,
"Robust: CS (post 1-5, cell-avg)",-0.09138766970151453,0.10407426763743377,-0.2934350963275354,0.10346397687868318,TRUE,FALSE,NA,
"Robust: CS (post 1-3, cell-avg)",-0.09341735179239144,0.09314108494471508,-0.28068943128782303,0.06465577203539787,TRUE,FALSE,NA,
Alt: Stacked (post 1-5),-0.0471807197550452,0.004602082063787279,-0.05620080060006827,-0.03816063891002214,FALSE,FALSE,1.1587429712395623e-24,***
Alt: Stacked (post 1-3),-0.03431460010432428,0.003945975176839235,-0.04204871145092918,-0.02658048875771938,FALSE,FALSE,3.4348164783480916e-18,***
Robust: Trim 2018-05 (post 1-4),-0.07806142103172886,0.10144401373372533,-0.2682757820154722,0.1278085342418838,TRUE,FALSE,NA,
Robust: Ant=0 (post 1-5),-0.03283935953621783,0.08756467535861477,-0.19381892499499356,0.12038046842281151,TRUE,FALSE,NA,
Robust: Ant=1 (post 1-5),-0.010237987616473099,0.0902662856272486,-0.17524284410526672,0.1360631259884354,TRUE,FALSE,NA,
Robust: Ant=3 (post 1-5),0.06484081208894513,0.09688419219293297,-0.13718650793355253,0.19320993626372743,TRUE,FALSE,NA,
Robust: Excl. Wayne,-0.09058299072433762,0.11395339172096447,-0.30481949922063223,0.13638378615507668,TRUE,FALSE,NA,
Robust: LOO mean,-0.09609675462369871,0.015371251247223088,NA,NA,FALSE,TRUE,NA,
Robust: Pop-weighted,-0.04880482547954754,0.11448163082892952,-0.28089626482851593,0.15108490122700752,TRUE,FALSE,NA,
