Specification,ATT,SE,CI_lower,CI_upper,t_stat,p_value,Sig
"Main (CS, Ant=2)",-0.3953701022018534,0.1094410267939111,-0.6098745147179192,-0.18086568968578767,3.612631512918612,3.0310529127208774e-4,***
CS post 1-6mo avg,-0.2648015264849704,0.06460926169573646,-0.39143567940861385,-0.13816737356132697,4.0985072346438,4.1582324325828424e-5,***
Robustness: Ant=0 (no anticipation),0.04452811240198278,0.069895020722294,-0.09246612821371344,0.18152235301767902,0.6370713098276529,0.5240783954967108,
Anticipation = 0,0.04452811240198278,0.07017423961752839,-0.09301339724837285,0.18206962205233843,0.6345364430690658,0.5257307913683702,
Anticipation = 6,-0.29610267491411,0.23501423973820276,-0.7567305848009874,0.1645252349727674,1.259935037315005,0.20769279799183216,
Never-treated Control,-0.4009953038427804,0.11050123010330076,-0.6175777148452499,-0.18441289284031093,3.6288763796377173,2.8465750327222317e-4,***
Excl. Wayne County,-0.4235047033460015,0.0943297953035751,-0.6083911021410087,-0.23861830455099428,4.4896175379482735,7.135116807832631e-6,***
"Sun & Abraham (2021, full ATT)",-0.05707360495492692,0.006879203955627718,-0.07055684470795726,-0.043590365201896596,8.296542059671937,0,***
"Static TWFE (Ant=2, aligned)",-0.07123714804391924,0.0130413400323721,-0.09679817450736855,-0.04567612158046993,5.462410140912633,4.697133126896347e-8,***
"Static TWFE (Ant=0, comparison)",-0.07397601342092286,0.013131403967828824,-0.09971356519786735,-0.04823846164397837,5.6335189749824,1.7656907935759136e-8,***
