varied_param,varied_value,fixed_param,fixed_value,total_loss,mean_delta_log,mean_pct_change
compliance_elasticity,0,snap_unemp_elasticity,0.033,-10863.554612440092,-0.014674228944062798,-1.46742289440628
compliance_elasticity,0.04,snap_unemp_elasticity,0.033,-12153.43284338067,-0.016435136417350338,-1.6435136417350336
compliance_elasticity,0.08,snap_unemp_elasticity,0.033,-13440.39316568858,-0.01819604389063787,-1.819604389063787
compliance_elasticity,0.12,snap_unemp_elasticity,0.033,-14724.443681304087,-0.019956951363925404,-1.9956951363925404
compliance_elasticity,0.16,snap_unemp_elasticity,0.033,-16005.592466383947,-0.02171785883721294,-2.171785883721294
snap_unemp_elasticity,0.015,compliance_elasticity,0.08,-12733.86000918075,-0.01819604389063787,-1.819604389063787
snap_unemp_elasticity,0.025,compliance_elasticity,0.08,-13121.663781189656,-0.01819604389063787,-1.819604389063787
snap_unemp_elasticity,0.033,compliance_elasticity,0.08,-13440.39316568858,-0.01819604389063787,-1.819604389063787
snap_unemp_elasticity,0.045,compliance_elasticity,0.08,-13933.062154347732,-0.01819604389063787,-1.819604389063787
snap_unemp_elasticity,0.06,compliance_elasticity,0.08,-14574.371187287545,-0.01819604389063787,-1.819604389063787
